*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-06-08 14:42:39
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-03-01

Fecha Final de la eliminación:2020-05-31

Monto pendiente a eliminar:1.0 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJCP            7                -9.39             FACP             16193            -0.15       0            2020-06-08 14:42:39  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16195            -0.59       0            2020-06-08 14:42:39  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16204            0.3       0            2020-06-08 14:42:39  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16196            0.49       0            2020-06-08 14:42:40  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16212            0.01       0            2020-06-08 14:42:40  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16244            0.49       0            2020-06-08 14:42:40  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16249            -0.1       0            2020-06-08 14:42:40  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16247            0.01       0            2020-06-08 14:42:40  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16253            0.01       0            2020-06-08 14:42:41  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16234            -0.31       0            2020-06-08 14:42:41  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16259            -0.52       0            2020-06-08 14:42:41  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16271            -0.07       0            2020-06-08 14:42:41  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16258            -0.01       0            2020-06-08 14:42:42  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16272            0.12       0            2020-06-08 14:42:42  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16303            -0.97       0            2020-06-08 14:42:42  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16314            0.71       0            2020-06-08 14:42:42  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16317            0.4       0            2020-06-08 14:42:42  ABONO CLIENTE / AJUSTE SALDO

AJCP            7                -9.39             FACP             16322            -8.1       0            2020-06-08 14:42:43  ABONO CLIENTE / AJUSTE SALDO

