*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-12-21 14:41:44
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-01-01

Fecha Final de la eliminación:2020-11-30

Monto pendiente a eliminar:1.00 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJSG            29                -58.37             FASG             11030            0.15       0            2020-12-21 14:41:44  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11089            0.6       0            2020-12-21 14:41:44  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11358            0.94       0            2020-12-21 14:41:45  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11581            0.63       0            2020-12-21 14:41:45  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11582            0.42       0            2020-12-21 14:41:45  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11586            0.53       0            2020-12-21 14:41:46  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11588            0.29       0            2020-12-21 14:41:46  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11594            0.01       0            2020-12-21 14:41:47  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11612            0.57       0            2020-12-21 14:41:47  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11618            0.81       0            2020-12-21 14:41:48  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11621            0.01       0            2020-12-21 14:41:48  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11623            0.43       0            2020-12-21 14:41:49  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11631            0.72       0            2020-12-21 14:41:49  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11636            0.43       0            2020-12-21 14:41:50  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11642            0.01       0            2020-12-21 14:41:50  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11661            0.01       0            2020-12-21 14:41:51  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11662            0.68       0            2020-12-21 14:41:51  ABONO CLIENTE / AJUSTE SALDO

AJSG            29                -58.37             FASG             11669            0.99       0            2020-12-21 14:41:52  ABONO CLIENTE / AJUSTE SALDO

