*********************************************************************************************
PROCESO DE SALDADO DE REMANENTES
*********************************************************************************************
---------------------------------------------------------------------------------------------
Área Corregida           FACTURAS TIENDAS
Fecha y Hora de Inicio:  2020-12-26 11:13:53
---------------------------------------------------------------------------------------------
Comienza con Este proceso elimina pequeños saldos pendientes en documentos para que ya no
aparezcan como documentos con saldos pendientes, el proceso recupera los documentos en el
rango de fechas con un pendiente menor o igual al monto Termina con pendiente a eliminar
y los salda con documentos creados para este propósito.
---------------------------------------------------------------------------------------------
Para la realización de este proceso el usuario eligió las siguientes opciones:


Fecha Inicial de la eliminación:2020-01-01

Fecha Final de la eliminación:2020-12-23

Monto pendiente a eliminar:1 PESO MEXICANO


                                   				DOCUMENTOS CREADOS CON EL AJUSTE


SERIE AJUSTE    FOLIO AJUSTE    SALDO AJUSTADO    SERIE FACTURA    FOLIO FACTURA    ABONADO    PENDIENTE    FECHA ABONO         CONCEPTO ABONO


AJSG            32                -11.96             FASG             12156            -0.1       352            2020-12-26 11:13:53  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13478            -0.61       0            2020-12-26 11:13:54  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13480            -0.01       0            2020-12-26 11:13:54  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13482            -0.18       0            2020-12-26 11:13:55  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13485            -0.31       0            2020-12-26 11:13:56  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13488            -0.85       0            2020-12-26 11:13:56  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13493            0.01       0            2020-12-26 11:13:57  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13496            0.15       0            2020-12-26 11:13:57  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13503            0.04       0            2020-12-26 11:13:58  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13505            0.31       0            2020-12-26 11:13:58  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13509            -0.71       0            2020-12-26 11:13:58  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13547            -0.2       0            2020-12-26 11:13:59  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13548            -0.1       0            2020-12-26 11:14:00  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13551            -0.83       0            2020-12-26 11:14:00  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13557            -0.01       0            2020-12-26 11:14:01  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13559            -0.01       0            2020-12-26 11:14:01  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13565            -0.01       0            2020-12-26 11:14:02  ABONO CLIENTE / AJUSTE SALDO

AJSG            32                -11.96             FASG             13566            -0.15       0            2020-12-26 11:14:02  ABONO CLIENTE / AJUSTE SALDO

